#metadataBlock	name	dataverseAlias	displayName	blockURI												
	codeMetaSoftwareSuggestions	Software Suggestions	Optional dependencies , e.g. for optional features, code development, etc.		none	14		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		CodeMeta	
	codeMetaSoftwareSuggestionsTitle	Name	Name or title of the optional software/library		text	15	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	codeMetaSoftwareSuggestions	CodeMeta	
	codeMetaSoftwareSuggestionsUrl	URL	Link to optional software/library	https://...	url	16	<a href="#VALUE" target="_blank" rel="noopener">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	codeMetaSoftwareSuggestions	CodeMeta	
	codeMetaPermissions	Permissions	Permission(s) required to run the code (for example, a mobile app may require full internet access or may run only on wifi).		text	17	#VALUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		CodeMeta	https://schema.org/permissions
	codeMetaMemoryRequirements	Memory Requirements	Minimum memory requirements.		text	18	#VALUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		CodeMeta	https://schema.org/memoryRequirements
	codeMetaProcessorRequirements	Processor Requirements	Processor architecture required to run the application (e.g. IA64).		text	19	#VALUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		CodeMeta	https://schema.org/processorRequirements
	codeMetaStorageRequirements	Storage Requirements	Storage requirements (e.g. free space required).		text	20	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		CodeMeta	https://schema.org/storageRequirements
	codeMetaReleaseNotes	Release Notes	Link to release notes	https://...	url	21	<a href="#VALUE" target="_blank" rel="noopener">#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		CodeMeta	https://schema.org/releaseNotes
	codeMetaContIntegration	Continous Integration	Link to continuous integration service	https://...	url	22	<a href="#VALUE" target="_blank" rel="noopener">#VALUE</a>	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		CodeMeta	
	codeMetaIssueTracker	Issue Tracker	Link to software bug reporting or issue tracking system	https://...	url	23	<a href="#VALUE" target="_blank" rel="noopener">#VALUE</a>	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		CodeMeta	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder											
	codeMetaDevelopmentStatus	concept	1	0											
	codeMetaDevelopmentStatus	wip	3	1											
	codeMetaDevelopmentStatus	active	5	2											
	codeMetaDevelopmentStatus	inactive	7	3											
	codeMetaDevelopmentStatus	unsupported	9	4											
	codeMetaDevelopmentStatus	moved	11	5											
	codeMetaDevelopmentStatus	suspended	13	6											
	codeMetaDevelopmentStatus	abandoned	15	7											
